Time (seconds),Moisture,Temp,Light
99.76,105,14,0
99.86,103,14,0
99.96,106,14,0
100.06,95,14,0
100.16,94,14,0
100.26,96,14,0
100.36,94,14,0
100.46,93,14,0
100.56,92,14,0
100.66,93,14,0
100.76,85,14,0
100.86,80,14,0
100.96,80,14,0
101.06,81,14,0
101.16,93,14,0
101.26,94,14,0
101.36,97,14,0
101.46,98,14,0
101.56,90,14,0
101.66,84,14,0
101.76,86,14,0
101.86,80,14,0
101.96,87,14,0
102.06,83,14,0
102.16,76,14,0
102.26,81,14,0
102.36,74,14,0
102.46,75,14,0
102.56,65,14,0
102.66,77,14,0
102.76,92,14,0
102.86,89,14,0
102.96,92,14,0
103.06,91,14,0
103.16,93,14,0
103.26,92,14,0
103.36,93,14,0
103.46,95,14,0
103.56,92,14,0
103.66,91,14,0
103.76,90,14,0
103.86,92,14,0
103.96,94,14,0
104.06,92,14,0
104.16,100,14,0
104.26,97,14,0
104.36,103,14,0
104.46,105,14,0
104.56,99,14,0
104.66,96,14,0
104.76,97,14,0
104.86,99,14,0
104.96,102,14,0
105.06,98,14,0
105.16,98,14,0
105.26,100,14,0
105.36,104,14,0
105.46,102,14,0
105.56,100,13,0
105.66,95,13,0
105.76,95,13,0
105.86,105,13,0
105.96,100,13,0
106.06,98,13,0
106.16,80,13,0
106.26,74,13,0
106.36,88,13,0
106.46,84,13,0
106.56,88,13,0
106.66,88,13,0
106.76,95,13,0
106.86,92,13,0
106.96,91,13,0
107.06,93,13,0
107.16,91,13,0
107.26,79,13,0
107.36,79,13,0
107.46,74,13,0
107.56,78,13,0
107.66,75,13,0
107.76,89,13,0
107.86,91,13,0
107.96,87,13,0
108.06,93,13,0
108.16,89,13,0
108.26,87,13,0
108.36,95,13,0
108.46,92,13,0
108.56,94,13,0
108.66,89,13,0
108.76,92,13,0
108.86,94,13,0
108.96,93,13,0
109.06,95,13,0
109.16,91,13,0
109.26,96,13,0
109.36,98,13,0
109.46,96,13,0
109.56,95,13,0
109.66,93,13,0
109.76,100,13,0
109.86,91,13,0
109.96,102,13,0
110.06,105,13,0
110.16,102,13,0
110.26,105,13,0
110.36,92,13,0
110.46,86,13,0
110.56,81,13,0
110.66,78,13,0
110.76,84,13,0
110.86,82,13,0
110.96,96,13,0
111.06,96,13,0
111.16,92,13,0
111.26,89,13,0
111.36,87,13,0
111.46,73,13,0
111.56,74,13,0
111.66,76,13,0
111.76,76,13,0
111.86,72,13,0
111.96,79,13,0
112.06,100,13,0
112.16,94,13,0
112.26,89,13,0
112.36,82,13,0
112.46,78,13,0
112.56,87,13,0
112.66,83,13,0
112.76,86,13,0
112.86,82,13,0
112.96,81,13,0
113.06,74,13,0
113.16,95,13,0
113.26,93,13,0
113.36,89,13,0
113.46,95,13,0
113.56,89,13,0
113.66,95,13,0
113.76,97,13,0
113.86,93,13,0
113.96,93,13,0
114.06,90,13,0
114.16,92,13,0
114.26,94,13,0
114.36,91,13,0
114.46,94,13,0
114.56,83,13,0
114.66,97,13,0
114.76,93,13,0
114.86,101,13,0
114.96,106,13,0
115.06,98,13,0
115.16,85,13,0
115.26,77,13,0
115.36,79,13,0
115.46,81,13,0
115.56,85,13,0
115.66,91,13,0
115.76,92,13,0
115.86,93,13,0
115.96,94,13,0
116.06,92,13,0
116.16,94,13,0
116.26,87,13,0
116.36,82,13,0
116.46,74,13,0
116.56,87,13,0
116.66,87,13,0
116.76,79,13,0
116.86,88,13,0
116.96,84,13,0
117.06,85,13,0
117.16,84,13,0
117.26,83,13,0
117.36,94,13,0
117.46,87,13,0
117.56,93,12,0
117.66,91,12,0
117.76,87,12,0
117.86,93,12,0
117.96,94,12,0
118.06,93,12,0
118.16,95,12,0
118.26,91,12,0
118.36,95,12,0
118.46,91,12,0
118.56,91,12,0
118.66,94,12,0
118.76,92,12,0
118.86,96,12,0
118.96,94,12,0
119.06,97,12,0
119.16,100,12,0
119.26,93,12,0
119.36,101,12,0
119.46,96,12,0
119.56,95,12,0
119.66,103,12,0
119.76,96,12,0
119.86,93,12,0
119.96,92,12,0
120.06,92,12,0
120.16,90,12,0
120.26,86,12,0
120.36,92,12,0
120.46,97,12,0
120.56,87,12,0
120.66,94,12,0
120.76,92,12,0
120.86,94,12,0
120.96,85,12,0
121.06,94,12,0
121.16,100,12,0
121.26,93,12,0
121.36,95,12,0
121.46,87,12,0
121.56,74,12,0
121.66,79,12,0
121.76,74,12,0
121.86,73,12,0
121.96,70,12,0
122.06,79,12,0
122.16,75,12,0
122.26,74,12,0
122.36,71,12,0
122.46,72,12,0
122.56,75,12,0
122.66,94,12,0
122.76,91,12,0
122.86,94,12,0
122.96,95,12,0
123.06,90,12,0
123.16,94,12,0
123.26,90,12,0
123.36,95,12,0
123.46,91,12,0
123.56,95,12,0
123.66,98,12,0
123.76,95,12,0
123.86,95,12,0
123.96,86,12,0
124.06,92,12,0
124.16,93,12,0
124.26,80,12,0
124.36,95,12,0
124.46,102,12,0
124.56,107,12,0
124.66,106,12,0
124.76,88,12,0
124.86,83,12,0
124.96,76,12,0
125.06,84,12,0
125.16,82,12,0
125.26,87,12,0
125.36,97,12,0
125.46,92,12,0
125.56,94,12,0
125.66,96,12,0
125.76,93,12,0
125.86,95,12,0
125.96,94,12,0
126.06,89,12,0
126.16,87,12,0
126.26,83,12,0
126.36,92,12,0
126.46,87,12,0
126.56,84,12,0
126.66,77,12,0
126.76,84,12,0
126.86,78,12,0
126.96,92,12,0
127.06,94,12,0
127.16,92,12,0
127.26,94,12,0
127.36,91,12,0
127.46,89,12,0
127.56,96,12,0
127.66,90,12,0
127.76,93,12,0
127.86,96,12,0
127.96,93,12,0
128.06,97,12,0
128.16,93,12,0
128.26,97,12,0
128.36,87,12,0
128.46,97,12,0
128.56,94,12,0
128.66,93,12,0
128.76,95,12,0
128.86,96,12,0
128.96,91,12,0
129.06,99,12,0
129.16,98,12,0
129.26,95,12,0
129.36,656,12,0
129.46,657,12,0
129.56,656,12,0
129.66,656,12,0
129.76,656,12,0
